tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
17359,SENTADO,-1.492,-6.541,-6.393,0.130,0.224,-0.006,38.642,9.267,0.259
17569,SENTADO,-1.516,-6.500,-6.321,0.100,0.212,-0.004,38.573,9.193,0.235
17779,SENTADO,-1.528,-6.510,-6.328,0.094,0.229,-0.002,38.535,9.206,0.248
17989,SENTADO,-1.504,-6.517,-6.357,0.098,0.217,-0.008,38.595,9.227,0.238
18199,SENTADO,-1.506,-6.522,-6.347,0.138,0.191,-0.036,38.625,9.225,0.238
18409,SENTADO,-1.482,-6.570,-6.292,0.094,0.219,0.005,39.042,9.217,0.239
18619,SENTADO,-1.496,-6.479,-6.295,0.100,0.207,-0.010,38.651,9.156,0.230
18829,SENTADO,-1.518,-6.520,-6.330,0.111,0.205,-0.022,38.605,9.213,0.234
19039,SENTADO,-1.482,-6.498,-6.278,0.070,0.246,-0.002,38.827,9.156,0.256
19249,SENTADO,-1.482,-6.594,-6.290,0.112,0.227,-0.011,39.132,9.232,0.253
19459,SENTADO,-1.463,-6.560,-6.307,0.085,0.210,0.003,39.057,9.217,0.226
19669,SENTADO,-1.506,-6.539,-6.280,0.068,0.207,0.005,38.857,9.190,0.218
19879,SENTADO,-1.477,-6.479,-6.333,0.105,0.231,-0.014,38.640,9.180,0.254
20089,SENTADO,-1.472,-6.580,-6.295,0.099,0.215,-0.003,39.112,9.224,0.237
20299,SENTADO,-1.511,-6.529,-6.335,0.101,0.218,0.002,38.659,9.222,0.240
20509,SENTADO,-1.535,-6.558,-6.299,0.101,0.208,-0.002,38.746,9.222,0.231
20719,SENTADO,-1.484,-6.477,-6.342,0.120,0.225,-0.019,38.575,9.186,0.255
20929,SENTADO,-1.513,-6.572,-6.261,0.120,0.202,-0.007,38.993,9.202,0.235
21139,SENTADO,-1.480,-6.481,-6.350,0.098,0.203,0.004,38.595,9.193,0.225
21349,SENTADO,-1.528,-6.536,-6.290,0.094,0.206,0.001,38.727,9.199,0.227
21559,SENTADO,-1.523,-6.498,-6.249,0.139,0.224,-0.005,38.718,9.143,0.264
21769,SENTADO,-1.542,-6.761,-6.335,0.661,-0.117,0.091,39.333,9.393,0.678
21979,SENTADO,-2.976,-13.334,-6.776,1.280,0.187,5.363,50.939,15.250,5.517
22189,SENTADO,0.283,1.257,0.096,-4.328,4.273,5.934,124.571,1.292,8.497
22399,SENTADO,-8.466,-4.315,-11.066,-6.796,0.362,0.265,2.868,14.586,6.811
22609,SENTADO,8.224,6.062,-15.920,6.194,8.936,8.324,75.298,18.916,13.693
22819,CAIDA,14.610,4.001,-11.045,2.265,0.640,-6.050,97.328,18.747,6.492
23029,CAIDA,14.442,2.808,-11.179,5.171,-8.936,-1.140,95.315,18.478,10.387
23239,CAIDA,-1.092,0.793,0.189,8.936,-3.046,5.618,123.961,1.362,10.986
23449,CAIDA,-6.508,-3.508,-5.636,-4.824,-3.455,-4.198,14.018,9.296,7.269
23659,CAIDA,-7.449,-2.088,-7.506,-2.758,-1.420,-4.654,7.180,10.779,5.593
23869,CAIDA,-7.451,-4.367,-4.556,-3.356,0.664,-2.308,27.018,9.765,4.127
24079,CAIDA,-5.835,-2.035,-7.463,-1.525,1.104,-1.715,4.373,9.689,2.547
24289,CAIDA,-5.164,-1.513,-7.901,-1.316,0.801,-1.078,10.087,9.560,1.880
24499,CAIDA,-5.014,-1.183,-8.552,-1.882,0.837,-0.226,13.955,9.984,2.072
24709,CAIDA,-4.341,0.709,-9.067,0.848,0.650,0.464,26.975,10.078,1.165
24919,CAIDA,-3.761,0.050,-9.302,0.214,1.009,-0.574,25.356,10.034,1.180
25129,CAIDA,-4.729,-1.042,-8.299,1.716,-1.556,-0.623,14.920,9.608,2.399
25339,CAIDA,-5.495,-2.294,-7.101,0.937,0.154,0.362,2.174,9.267,1.016
25549,CAIDA,-5.562,-3.144,-6.773,0.043,0.195,-0.310,5.442,9.311,0.368
25759,CAIDA,-6.086,-4.224,-6.690,-0.547,0.269,0.035,12.703,9.982,0.611
25969,CAIDA,-7.784,-6.884,-4.927,0.685,1.773,3.104,35.173,11.500,3.640
26179,CAIDA,-7.370,-1.484,-7.255,0.794,3.611,1.296,10.696,10.447,3.918
26389,CAIDA,-4.458,0.955,-3.907,1.127,2.109,-0.176,34.823,6.005,2.397
26599,CAIDA,4.803,-3.814,-9.405,5.384,8.326,-3.690,63.140,11.228,10.579
26809,CAIDA,0.941,-8.138,-6.014,3.836,0.927,0.783,54.859,10.163,4.024
27019,CAIDA,4.137,-8.548,-9.077,-7.322,0.305,-5.764,60.927,13.136,9.323
27229,CAIDA,6.055,2.832,-4.793,3.936,-3.278,-1.040,98.831,8.226,5.226
27439,CAIDA,3.785,1.235,-9.134,0.099,0.205,-0.004,65.988,9.964,0.228
27649,CAIDA,3.797,1.183,-9.204,0.031,0.217,-0.003,65.767,10.026,0.219
27859,CAIDA,3.805,1.226,-9.196,0.033,0.204,0.004,65.915,10.028,0.207
28069,CAIDA,3.807,1.250,-9.187,0.035,0.199,-0.005,66.003,10.023,0.202
28279,CAIDA,3.773,1.188,-9.230,0.040,0.216,-0.003,65.602,10.042,0.219
28489,CAIDA,3.793,1.200,-9.187,0.036,0.218,0.000,65.820,10.011,0.221
28699,CAIDA,3.785,1.204,-9.199,0.039,0.206,-0.005,65.769,10.020,0.209
28909,CAIDA,3.783,1.190,-9.216,0.034,0.203,-0.002,65.687,10.033,0.206
29119,CAIDA,3.785,1.149,-9.194,0.036,0.198,-0.002,65.656,10.009,0.201
29329,CAIDA,3.773,1.176,-9.218,0.026,0.203,0.001,65.603,10.030,0.204
29539,CAIDA,3.809,1.183,-9.199,0.038,0.202,-0.003,65.836,10.026,0.206
29749,CAIDA,3.790,1.183,-9.196,0.035,0.201,-0.000,65.749,10.017,0.204
29959,CAIDA,3.795,1.176,-9.175,0.031,0.202,0.000,65.805,9.998,0.204
